Unnamed: 0,Artist,Track,Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Total_Views_Stream
7876,Mayday,你的神曲,0.526,0.851,0.0479,0.0536,0.0,0.43,0.609,0.4883730902646089,4671261.0
7877,The Supremes,You Can't Hurry Love,0.63,0.711,0.0472,0.299,0.0,0.0813,0.659,-0.798990360780188,385433161.0
7878,The Supremes,Baby Love,0.595,0.643,0.0365,0.76,0.0,0.538,0.73,0.508018218047406,176121120.0
7879,The Supremes,Where Did Our Love Go,0.566,0.49,0.0414,0.791,1.42e-05,0.0919,0.847,0.4844238119989955,109911766.0
7880,The Supremes,Stop! In The Name Of Love - Single Version,0.612,0.444,0.0293,0.531,0.0,0.126,0.503,-0.1897551179078647,104434153.0
7881,The Supremes,Come See About Me,0.732,0.506,0.0462,0.688,1.04e-06,0.146,0.867,0.1938311915830261,79503010.0
7882,The Supremes,You Keep Me Hangin' On,0.682,0.612,0.0381,0.284,0.0,0.0783,0.845,0.238454660532952,52698164.0
7883,The Supremes,I Hear A Symphony,0.521,0.606,0.0277,0.322,0.000257,0.0888,0.433,-1.6945651551670515,12753279.0
7884,The Supremes,My Favorite Things - Stereo,0.363,0.452,0.0286,0.182,0.0,0.374,0.26,-1.3089873292858083,7699662.0
7885,The Supremes,My World Is Empty Without You,0.466,0.676,0.112,0.248,3.22e-06,0.103,0.845,-1.0765874928862322,17067641.0
7886,The Supremes,"River Deep, Mountain High",0.49,0.821,0.0533,0.00295,0.000158,0.0534,0.921,0.840297664600409,7756844.0
7887,Kool Savas,Nie mehr zurück (feat. Kool Savas & Sido),0.587,0.679,0.354,0.361,0.0,0.278,0.54,-0.979475752970244,51171001.0
7888,Kool Savas,Keinen gesehen,0.543,0.643,0.347,0.421,0.0,0.0699,0.576,-0.012375141106155,2885056.0
7889,Kool Savas,Dann mit der Pumpgun 2.0 (feat. Azad & Kool Savas),0.684,0.794,0.306,0.0862,0.0,0.368,0.629,-1.0320315329664882,3724834.0
7890,Kool Savas,King,0.711,0.673,0.303,0.137,0.0,0.254,0.605,-1.1314048253935545,33109564.0
7891,Kool Savas,Rhythmus meines Lebens,0.708,0.582,0.273,0.00407,1.79e-05,0.258,0.656,-1.303485343326022,77874509.0
7892,Kool Savas,Deine Mutter,0.654,0.836,0.14,0.478,0.0,0.18,0.154,-0.9604719609741712,81022671.0
7893,Kool Savas,Check (feat. Samra),0.814,0.853,0.356,0.0566,2.89e-06,0.118,0.654,-0.8145849467520987,4882180.0
7894,Kool Savas,Aura,0.615,0.84,0.376,0.254,0.0,0.055,0.256,-0.8661956003258026,20163333.0
7895,Kool Savas,Moai (feat. Yaikess),0.491,0.76,0.325,0.163,0.0,0.183,0.373,1.7847489968386276,1902033.0
7896,Kool Savas,AMG,0.741,0.626,0.151,0.178,0.0,0.299,0.368,-1.1684335284480691,66821459.0
7897,Vince Gill,Roll Me Up and Smoke Me When I Die - Live,0.427,0.813,0.0737,0.0713,0.109,0.873,0.344,-0.4632341991728416,18725458.0
7898,Vince Gill,Don't Let Our Love Start Slippin' Away,0.736,0.719,0.0313,0.42,0.000851,0.35,0.657,-0.2482516925600747,46256755.0
7899,Vince Gill,On The Road Again - Live,0.411,0.859,0.085,0.0671,0.00201,0.958,0.36,-0.2820062076507902,9632768.0
7900,Vince Gill,One More Last Chance,0.525,0.878,0.0404,0.411,0.0,0.291,0.963,1.8789916029719047,22854960.0
7901,Vince Gill,Go Rest High On That Mountain,0.325,0.143,0.033,0.469,0.000221,0.101,0.179,-0.3294313013532455,88581845.0
7902,Vince Gill,When I Call Your Name,0.506,0.11,0.0307,0.35,0.00144,0.139,0.208,-1.6886918695412667,65068165.0
7903,Vince Gill,Whenever You Come Around,0.719,0.22,0.0294,0.736,9.4e-06,0.118,0.168,-0.1757807486603084,23647787.0
7904,Vince Gill,All My Ex's Live In Texas - Live,0.562,0.747,0.0525,0.368,8.39e-06,0.97,0.554,0.4441884300108624,22572136.0
7905,Vince Gill,I Still Believe In You,0.579,0.285,0.026,0.773,1.4e-05,0.113,0.232,0.5018411417858044,36981481.0
7906,Vince Gill,Look At Us,0.489,0.322,0.0261,0.529,0.000208,0.239,0.219,-1.521742037902588,31701472.0
7907,GZA,Shadowboxin',0.704,0.642,0.39,0.00704,1.43e-06,0.161,0.72,-0.9617546325476182,85517578.0
7908,GZA,Publicity,0.858,0.373,0.31,0.0456,0.0,0.0415,0.564,-0.9641849576341498,6080125.0
7909,GZA,4th Chamber,0.708,0.447,0.0952,0.0271,0.000728,0.102,0.0384,-1.0451282848216854,32277474.0
7910,GZA,Liquid Swords,0.798,0.624,0.391,0.417,1.01e-05,0.34,0.347,-1.065380993876115,33947656.0
7911,GZA,Highway Robbery,0.814,0.88,0.191,0.00908,0.00374,0.0986,0.704,-0.9652988566321434,6410724.0
7912,GZA,Duel Of The Iron Mic,0.715,0.658,0.288,0.0807,0.0,0.323,0.25,-0.998445790451226,16155023.0
7913,GZA,Living In The World Today,0.761,0.674,0.0576,0.103,0.019,0.238,0.441,-0.8623475856054613,12806901.0
7914,GZA,"Breaker, Breaker",0.925,0.73,0.245,0.0336,2.77e-06,0.0447,0.72,-0.8299094966032838,6856875.0
7915,GZA,B.I.B.L.E. (Basic Instructions Before Leaving Earth),0.509,0.816,0.366,0.25,0.0,0.342,0.561,2.06649793430083,7578119.0
7916,GZA,Cold World,0.773,0.794,0.215,0.0976,2.89e-05,0.384,0.541,-1.003677740290287,8546156.0
7917,Pezet,Dom Nad Wodą,0.47,0.637,0.187,0.17,7.65e-05,0.12,0.554,-1.071895615288623,4408972.0
7918,Pezet,Magenta (prod. Auer),0.742,0.842,0.225,0.519,7.28e-06,0.124,0.564,0.4190075617531893,37367275.0
7919,Pezet,Ukryty w Mieście Krzyk,0.695,0.665,0.35,0.401,0.000557,0.11,0.6,1.8751773427666545,17152172.0
7920,Pezet,22,0.692,0.742,0.5,0.447,5.93e-06,0.348,0.589,2.3447364021935977,3235574.0
7921,Pezet,Miłość na sprzedaż,0.542,0.673,0.363,0.643,8.69e-06,0.668,0.37,-1.3875003313868124,4621683.0
7922,Pezet,Woof,0.77,0.652,0.33,0.154,0.0,0.146,0.385,0.6927566791388913,13707707.0
7923,Pezet,Daddy Issues,0.787,0.414,0.139,0.303,2.79e-05,0.0904,0.0514,-0.2322520524070755,2810566.0
7924,Pezet,Nikogo nie kocham,0.779,0.626,0.343,0.65,0.0345,0.105,0.0713,-0.0859599840039145,3138348.0
7925,Pezet,Zszedłem Ze Sceny,0.76,0.778,0.188,0.512,0.00984,0.124,0.498,0.5598313987116542,3338905.0
7926,Pezet,Pierwszy Człowiek Na Księżycu,0.568,0.492,0.186,0.153,0.0213,0.111,0.125,-1.277663139281625,1341941.0
7927,Mahalakshmi Iyer,Bol Na Halke Halke,0.637,0.573,0.0491,0.279,3.46e-06,0.0617,0.704,-1.0317277423306717,39646809.0
7928,Mahalakshmi Iyer,Falak Tak,0.718,0.697,0.135,0.634,1.53e-05,0.0563,0.62,0.7873030759079859,136345427.0
7930,Mahalakshmi Iyer,Laung Da Lashkara,0.841,0.74,0.13,0.05,2.22e-06,0.128,0.626,-0.3898518833656259,87634643.0
7931,Mahalakshmi Iyer,Sadka,0.678,0.547,0.0286,0.232,0.000176,0.0785,0.579,0.7867967581816246,31704529.0
7932,Mahalakshmi Iyer,"Velli Malare (From ""Jodi"")",0.535,0.86,0.173,0.429,0.0,0.155,0.636,1.7364125312287235,13085821.0
7933,Mahalakshmi Iyer,Khud Ko Tere,0.54,0.744,0.0398,0.437,8.24e-06,0.223,0.68,0.7210092082698207,5811338.0
7934,Mahalakshmi Iyer,Enakkoru Snehidhi,0.695,0.691,0.0935,0.234,1.12e-05,0.0283,0.69,1.7298304007860343,22374592.0
7935,Mahalakshmi Iyer,Des Rangila,0.667,0.831,0.0937,0.427,0.0,0.336,0.832,-0.4918917824848587,117014190.0
7936,Mahalakshmi Iyer,Ennavo Ennavo,0.668,0.539,0.0875,0.0808,2.72e-05,0.181,0.486,1.865219760814894,13075483.0
7937,M. M. Keeravani,"Naacho Naacho (From ""Rrr"")",0.438,0.986,0.14,0.35,0.000343,0.0773,0.736,1.326936508663254,267069963.0
7939,M. M. Keeravani,Nunugu Misalodu,0.647,0.478,0.137,0.346,4.66e-05,0.081,0.937,1.0235846815429943,7460838.0
7942,M. M. Keeravani,"Komuram Bheemudo (From ""RRR"")",0.66,0.495,0.0403,0.923,0.000252,0.08,0.448,-1.3016288449960325,83357470.0
7943,M. M. Keeravani,"Neetho Unte Chalu (From ""Bimbisara"")",0.636,0.539,0.027,0.694,0.000759,0.113,0.584,-0.5957206709038998,67315232.0
7944,M. M. Keeravani,Chala Challa Gali,0.552,0.362,0.0598,0.805,0.0,0.0635,0.549,-1.4118035822521275,1544412.0
